IdVenta,Fecha,Producto,Categoria,Ciudad,Precio,Cantidad
1,2023-03-26,Disco SSD,Accesorios,Valladolid,1010.33,5
2,2022-06-09,Monitor,Oficina,Málaga,137.0,1
3,2024-05-21,Disco SSD,Informática,Valladolid,494.0,6
4,2024-06-27,Altavoz,Accesorios,Zaragoza,1046.4,4
5,2024-08-25,Tablet,Oficina,Valladolid,1975.09,7
6,2022-02-28,Webcam,Oficina,Sevilla,1857.5,10
7,2024-03-20,Webcam,Oficina,Sevilla,958.53,1
8,2023-12-28,Ratón,Informática,Madrid,1858.16,9
9,2024-08-05,Impresora,Accesorios,Zaragoza,1245.97,5
10,2023-10-02,Tablet,Informática,Valencia,980.41,7
11,2023-02-10,Impresora,Oficina,Valencia,970.84,10
12,2024-09-25,Teclado,Informática,Sevilla,708.37,6
13,2022-08-19,Ratón,Gaming,Bilbao,646.78,5
14,2022-02-19,Teclado,Accesorios,Málaga,543.55,6
15,2022-01-03,Auriculares,Accesorios,Barcelona,470.66,7
16,2022-07-17,Ratón,Oficina,Valladolid,755.28,9
17,2023-11-22,Tablet,Informática,Valencia,69.0,6
18,2024-03-25,Ratón,Oficina,Zaragoza,480.27,5
19,2022-06-27,Disco SSD,Accesorios,Barcelona,77.9,10
20,2023-07-20,Disco SSD,Accesorios,Zaragoza,1148.83,7
21,2023-04-07,Ratón,Informática,Málaga,1220.66,5
22,2022-01-10,Impresora,Accesorios,Bilbao,1023.01,7
23,2024-08-29,Auriculares,Oficina,Sevilla,1948.32,3
24,2024-01-25,Teclado,Oficina,Valladolid,1880.69,1
25,2023-10-27,Webcam,Gaming,Valencia,1840.91,3
26,2022-08-26,Auriculares,Informática,Valladolid,813.08,4
27,2022-11-30,Tablet,Gaming,Bilbao,968.83,6
28,2022-02-05,Impresora,Oficina,Madrid,867.58,1
29,2023-01-23,Webcam,Gaming,Valladolid,1261.65,5
30,2023-07-13,Monitor,Oficina,Barcelona,1851.8,2
31,2023-06-16,Impresora,Gaming,Barcelona,68.46,3
32,2022-04-15,Teclado,Oficina,Valencia,865.44,8
33,2023-06-17,Portátil,Gaming,Málaga,787.11,4
34,2024-06-04,Teclado,Gaming,Zaragoza,1511.81,8
35,2024-08-17,Impresora,Accesorios,Madrid,408.78,10
36,2022-06-24,Tablet,Accesorios,Málaga,1882.03,10
