name,host_name,host_location,neighbourhood_cleansed,property_type,room_type,accommodates,rooms_text,beds,price
Hotel in Ciutadella de Menorca,Borja,No info,Ciutadella de Menorca,Room in Hotel,Private room,2,1,1,85
Villa in Cala Blanca,James,United Kingdom,Ciutadella de Menorca,Entire villa,Entire home/apt,6,3,5,2939
Home in Binibequer,Sophie,United Kingdom,Sant Lluis,Entire home,Entire home/apt,10,3,6,650
Villa in Torre del Ram,Sebastian,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,10,7,8,2850
Home in Cala en Bosc,Miriam,Spain,Ciutadella de Menorca,Entire home,Entire home/apt,8,4,6,200
Home in Ciutadella de Menorca,Holidays,Spain,Ciutadella de Menorca,Entire home,Entire home/apt,5,2,5,1177
Rental unit in Son Xoriguer,Holidays,Spain,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,4,1177
Villa in Binibequer,Solmar,United Kingdom,Sant Lluis,Entire villa,Entire home/apt,11,4,8,737
Villa in Sant Lluis,3Villas,Spain,Sant Lluis,Entire villa,Entire home/apt,8,2,6,1200
Home in Arenal d'en Castell,Cristina,Spain,Es Mercadal,Entire home,Entire home/apt,6,2,0,265
Villa in Sant Jaume,Holidu,No info,Alaior,Entire villa,Entire home/apt,12,7,10,553
Rental unit in Es Mercadal,Marta,No info,Es Mercadal,Entire rental unit,Entire home/apt,2,1,1,60
Boat in Cala Galdana,Salvador,No info,Ciutadella de Menorca,Boat,Entire home/apt,4,1,2,400
Rental unit in Cap d'Artrutx,Holidu,Germany,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,153
Condo in Cala en Bosc,Maite,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,2,80
Condo in Cap d'Artrutx,Las Golondrinas,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,117
Villa in Cap d'Artrutx,Solmar,United Kingdom,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,356
Villa in Sant Jaume,Villa Plus,No info,Alaior,Entire villa,Entire home/apt,10,5,8,1161
Villa in Cala en Porter,Villa Plus,No info,Alaior,Entire villa,Entire home/apt,7,3,6,494
Rental unit in Ciutadella de Menorca,Margarita,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,200
Villa in Menorca,Villaclub,Spain,Ciutadella de Menorca,Entire villa,Entire home/apt,8,5,3,925
Rental unit in Cala en Blanes,Holidu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,2,150
Villa in Mercadal,Holidu,No info,Es Mercadal,Entire villa,Entire home/apt,4,1,3,175
Villa in Binibequer,Sara,Spain,Sant Lluis,Entire villa,Entire home/apt,8,3,6,905
Home in Arenal d'en Castell,Cristina,Spain,Es Mercadal,Entire home,Entire home/apt,6,2,5,265
Farm stay in Sant Lluis,Alfonso,No info,Sant Lluis,Private room in farm stay,Private room,3,1,2,135
Rental unit in Ciutadella de Menorca,Mercedes,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,140
Condo in Illes Balears,Rev-Pave Sl,Spain,Ciutadella de Menorca,Entire condo,Entire home/apt,2,1,1,200
Home in Cap d'Artrutx,Jaime,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,4,117
Condo in Platges de Fornells,Holiday Castelldefels,Spain,Es Mercadal,Entire condo,Entire home/apt,4,1,3,200
Condo in Arenal d'en Castell,Ana,Spain,Es Mercadal,Entire condo,Entire home/apt,4,1,4,63
Condo in San Jaime Mediterraneo,Martin,Spain,Alaior,Entire condo,Entire home/apt,5,1,4,47
Casa particular in Mao,Pedro,Spain,Mahon,Private room in Casa particular,Private room,4,1,2,56
Villa in Sant Jaume,Holidu,No info,Alaior,Entire villa,Entire home/apt,8,3,7,295
Home in Binixiquer,Sylvain,France,Mahon,Entire home,Entire home/apt,8,4,5,425
Villa in Cap d'Artrutx,Solmar,United Kingdom,Ciutadella de Menorca,Entire villa,Entire home/apt,8,2,6,618
Villa in Ciudadela de Menorca,Villa Plus,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,398
Chalet in Cala Blanca,Hollidays Menorca,Spain,Ciutadella de Menorca,Entire chalet,Entire home/apt,6,2,3,450
Boutique Hotel in Alaior,Jhoana Elizabeth,No info,Alaior,Room in boutique Hotel,Private room,2,1,1,125
Boat in Illes Balears,Morgan,No info,Mahon,Private room in boat,Private room,6,2,6,725
