year,genre,name,num
2022,M,AARON,120
2021,M,AARON,116
2020,M,AARON,121
2019,M,AARON,131
2018,M,AARON,152
2017,M,AARON,172
2016,M,AARON,197
2015,M,AARON,206
2014,M,AARON,200
2013,M,AARON,179
2012,M,AARON,181
2011,M,AARON,225
2010,M,AARON,214
2009,M,AARON,209
2008,M,AARON,242
2007,M,AARON,203
2006,M,AARON,209
2005,M,AARON,169
2004,M,AARON,136
2003,M,AARON,125
2002,M,AARON,122
2001,M,AARON,131
2000,M,AARON,105
2022,M,AARON MATEO,3
2021,M,AARON MATEO,0
2020,M,AARON MATEO,0
2019,M,AARON MATEO,1
2018,M,AARON MATEO,0
2017,M,AARON MATEO,0
2016,M,AARON MATEO,0
2015,M,AARON MATEO,0
2014,M,AARON MATEO,0
2013,M,AARON MATEO,0
2012,M,AARON MATEO,0
2011,M,AARON MATEO,0
2010,M,AARON MATEO,0
2009,M,AARON MATEO,1
2008,M,AARON MATEO,0
2007,M,AARON MATEO,0
2006,M,AARON MATEO,0
2005,M,AARON MATEO,0
2004,M,AARON MATEO,0
2003,M,AARON MATEO,0
2002,M,AARON MATEO,0
2001,M,AARON MATEO,0
2000,M,AARON MATEO,0
2022,M,ABEL,30
2021,M,ABEL,29
2020,M,ABEL,46
2019,M,ABEL,36
2018,M,ABEL,54
2017,M,ABEL,41
2016,M,ABEL,55
2015,M,ABEL,57
2014,M,ABEL,52
2013,M,ABEL,58
2012,M,ABEL,50
2011,M,ABEL,44
2010,M,ABEL,35
2009,M,ABEL,35
2008,M,ABEL,41
2007,M,ABEL,35
2006,M,ABEL,50
2005,M,ABEL,39
2004,M,ABEL,30
2003,M,ABEL,23
2002,M,ABEL,31
2001,M,ABEL,30
2000,M,ABEL,28
2022,M,ABRAHAM,21
2021,M,ABRAHAM,24
2020,M,ABRAHAM,34
2019,M,ABRAHAM,40
2018,M,ABRAHAM,51
2017,M,ABRAHAM,39
2016,M,ABRAHAM,58
2015,M,ABRAHAM,47
2014,M,ABRAHAM,57
2013,M,ABRAHAM,44
2012,M,ABRAHAM,43
2011,M,ABRAHAM,39
2010,M,ABRAHAM,26
2009,M,ABRAHAM,38
2008,M,ABRAHAM,34
2007,M,ABRAHAM,41
2006,M,ABRAHAM,43
2005,M,ABRAHAM,21
2004,M,ABRAHAM,28
2003,M,ABRAHAM,31
2002,M,ABRAHAM,37
2001,M,ABRAHAM,19
2000,M,ABRAHAM,23
2022,M,ACHRAF,3
2021,M,ACHRAF,6
2020,M,ACHRAF,6
2019,M,ACHRAF,8
2018,M,ACHRAF,5
2017,M,ACHRAF,6
2016,M,ACHRAF,6
2015,M,ACHRAF,4
2014,M,ACHRAF,4
2013,M,ACHRAF,11
2012,M,ACHRAF,9
2011,M,ACHRAF,14
2010,M,ACHRAF,14
2009,M,ACHRAF,13
2008,M,ACHRAF,11
2007,M,ACHRAF,14
2006,M,ACHRAF,9
2005,M,ACHRAF,6
2004,M,ACHRAF,8
2003,M,ACHRAF,9
2002,M,ACHRAF,7
2001,M,ACHRAF,6
2000,M,ACHRAF,5
2022,M,ADAI,6
2021,M,ADAI,2
2020,M,ADAI,1
2019,M,ADAI,1
2018,M,ADAI,1
2017,M,ADAI,2
2016,M,ADAI,1
2015,M,ADAI,1
2014,M,ADAI,0
2013,M,ADAI,0
2012,M,ADAI,0
2011,M,ADAI,0
2010,M,ADAI,1
2009,M,ADAI,0
2008,M,ADAI,0
2007,M,ADAI,1
2006,M,ADAI,0
2005,M,ADAI,0
2004,M,ADAI,0
2003,M,ADAI,0
2002,M,ADAI,0
2001,M,ADAI,0
2000,M,ADAI,0
2022,M,ADAM,86
2021,M,ADAM,80
2020,M,ADAM,103
2019,M,ADAM,98
2018,M,ADAM,99
2017,M,ADAM,110
2016,M,ADAM,108
2015,M,ADAM,120
2014,M,ADAM,113
2013,M,ADAM,126
2012,M,ADAM,133
2011,M,ADAM,125
2010,M,ADAM,144
2009,M,ADAM,131
2008,M,ADAM,160
2007,M,ADAM,91
2006,M,ADAM,75
2005,M,ADAM,55
2004,M,ADAM,34
2003,M,ADAM,17
2002,M,ADAM,11
2001,M,ADAM,11
2000,M,ADAM,13
2022,M,ADAN,9
2021,M,ADAN,16
2020,M,ADAN,12
2019,M,ADAN,21
2018,M,ADAN,18
2017,M,ADAN,22
2016,M,ADAN,12
2015,M,ADAN,20
2014,M,ADAN,28
2013,M,ADAN,17
2012,M,ADAN,23
2011,M,ADAN,20
2010,M,ADAN,18
2009,M,ADAN,12
2008,M,ADAN,20
2007,M,ADAN,20
2006,M,ADAN,9
2005,M,ADAN,11
2004,M,ADAN,19
2003,M,ADAN,7
2002,M,ADAN,8
2001,M,ADAN,11
2000,M,ADAN,4
2022,M,ADAY,32
2021,M,ADAY,43
2020,M,ADAY,32
2019,M,ADAY,33
2018,M,ADAY,40
2017,M,ADAY,41
2016,M,ADAY,15
2015,M,ADAY,14
2014,M,ADAY,13
2013,M,ADAY,17
2012,M,ADAY,11
2011,M,ADAY,11
2010,M,ADAY,10
2009,M,ADAY,9
2008,M,ADAY,6
2007,M,ADAY,4
2006,M,ADAY,3
2005,M,ADAY,2
2004,M,ADAY,3
2003,M,ADAY,0
2002,M,ADAY,1
2001,M,ADAY,0
2000,M,ADAY,2
2022,M,ADNAN,4
2021,M,ADNAN,3
2020,M,ADNAN,4
2019,M,ADNAN,4
2018,M,ADNAN,1
2017,M,ADNAN,4
2016,M,ADNAN,4
2015,M,ADNAN,5
2014,M,ADNAN,2
2013,M,ADNAN,4
2012,M,ADNAN,5
2011,M,ADNAN,3
2010,M,ADNAN,3
2009,M,ADNAN,6
2008,M,ADNAN,3
2007,M,ADNAN,4
2006,M,ADNAN,4
2005,M,ADNAN,3
2004,M,ADNAN,4
2003,M,ADNAN,3
2002,M,ADNAN,2
2001,M,ADNAN,2
2000,M,ADNAN,3
2022,M,ADOLFO,6
2021,M,ADOLFO,7
2020,M,ADOLFO,2
2019,M,ADOLFO,3
2018,M,ADOLFO,7
2017,M,ADOLFO,6
2016,M,ADOLFO,16
2015,M,ADOLFO,10
2014,M,ADOLFO,5
2013,M,ADOLFO,9
2012,M,ADOLFO,4
2011,M,ADOLFO,11
2010,M,ADOLFO,9
2009,M,ADOLFO,7
2008,M,ADOLFO,11
2007,M,ADOLFO,13
2006,M,ADOLFO,8
2005,M,ADOLFO,10
2004,M,ADOLFO,13
2003,M,ADOLFO,6
2002,M,ADOLFO,13
2001,M,ADOLFO,14
2000,M,ADOLFO,17
2022,M,ADONAY,9
2021,M,ADONAY,19
2020,M,ADONAY,15
2019,M,ADONAY,9
2018,M,ADONAY,3
2017,M,ADONAY,3
2016,M,ADONAY,0
2015,M,ADONAY,3
2014,M,ADONAY,1
2013,M,ADONAY,2
2012,M,ADONAY,3
2011,M,ADONAY,0
2010,M,ADONAY,0
2009,M,ADONAY,1
2008,M,ADONAY,2
2007,M,ADONAY,2
2006,M,ADONAY,1
2005,M,ADONAY,0
2004,M,ADONAY,0
2003,M,ADONAY,0
2002,M,ADONAY,0
2001,M,ADONAY,0
2000,M,ADONAY,0
2022,M,ADONIS,3
2021,M,ADONIS,0
2020,M,ADONIS,1
2019,M,ADONIS,1
2018,M,ADONIS,1
2017,M,ADONIS,0
2016,M,ADONIS,0
2015,M,ADONIS,0
2014,M,ADONIS,0
2013,M,ADONIS,0
2012,M,ADONIS,1
2011,M,ADONIS,0
2010,M,ADONIS,0
2009,M,ADONIS,0
2008,M,ADONIS,0
2007,M,ADONIS,2
2006,M,ADONIS,3
2005,M,ADONIS,0
2004,M,ADONIS,2
2003,M,ADONIS,0
2002,M,ADONIS,0
2001,M,ADONIS,1
2000,M,ADONIS,0
2022,M,ADRIAN,373
2021,M,ADRIAN,398
2020,M,ADRIAN,427
2019,M,ADRIAN,471
2018,M,ADRIAN,518
2017,M,ADRIAN,550
2016,M,ADRIAN,636
2015,M,ADRIAN,680
2014,M,ADRIAN,715
2013,M,ADRIAN,738
2012,M,ADRIAN,855
2011,M,ADRIAN,804
2010,M,ADRIAN,842
2009,M,ADRIAN,930
2008,M,ADRIAN,986
2007,M,ADRIAN,953
2006,M,ADRIAN,914
2005,M,ADRIAN,865
2004,M,ADRIAN,937
2003,M,ADRIAN,940
2002,M,ADRIAN,987
2001,M,ADRIAN,842
2000,M,ADRIAN,908
2022,M,ADRIANO,4
2021,M,ADRIANO,5
2020,M,ADRIANO,2
2019,M,ADRIANO,1
2018,M,ADRIANO,3
2017,M,ADRIANO,2
2016,M,ADRIANO,3
2015,M,ADRIANO,3
2014,M,ADRIANO,0
2013,M,ADRIANO,6
2012,M,ADRIANO,5
2011,M,ADRIANO,5
2010,M,ADRIANO,7
2009,M,ADRIANO,5
2008,M,ADRIANO,11
2007,M,ADRIANO,7
2006,M,ADRIANO,12
2005,M,ADRIANO,14
2004,M,ADRIANO,5
2003,M,ADRIANO,2
2002,M,ADRIANO,2
2001,M,ADRIANO,2
2000,M,ADRIANO,1
2022,M,ADRIEL,9
2021,M,ADRIEL,6
2020,M,ADRIEL,5
2019,M,ADRIEL,8
2018,M,ADRIEL,7
2017,M,ADRIEL,7
2016,M,ADRIEL,5
2015,M,ADRIEL,2
2014,M,ADRIEL,3
2013,M,ADRIEL,3
2012,M,ADRIEL,3
2011,M,ADRIEL,10
2010,M,ADRIEL,5
2009,M,ADRIEL,3
2008,M,ADRIEL,7
2007,M,ADRIEL,4
2006,M,ADRIEL,1
2005,M,ADRIEL,3
2004,M,ADRIEL,2
2003,M,ADRIEL,2
2002,M,ADRIEL,1
2001,M,ADRIEL,3
2000,M,ADRIEL,2
2022,M,AGUSTIN,9
2021,M,AGUSTIN,9
2020,M,AGUSTIN,9
2019,M,AGUSTIN,18
2018,M,AGUSTIN,4
2017,M,AGUSTIN,12
2016,M,AGUSTIN,13
2015,M,AGUSTIN,7
2014,M,AGUSTIN,14
2013,M,AGUSTIN,13
2012,M,AGUSTIN,15
2011,M,AGUSTIN,12
2010,M,AGUSTIN,12
2009,M,AGUSTIN,16
2008,M,AGUSTIN,24
2007,M,AGUSTIN,16
2006,M,AGUSTIN,8
2005,M,AGUSTIN,25
2004,M,AGUSTIN,17
2003,M,AGUSTIN,22
2002,M,AGUSTIN,12
2001,M,AGUSTIN,26
2000,M,AGUSTIN,10
2022,M,AHMAD,7
2021,M,AHMAD,2
2020,M,AHMAD,2
2019,M,AHMAD,6
2018,M,AHMAD,5
2017,M,AHMAD,5
2016,M,AHMAD,3
2015,M,AHMAD,3
2014,M,AHMAD,3
2013,M,AHMAD,3
2012,M,AHMAD,7
2011,M,AHMAD,1
2010,M,AHMAD,4
2009,M,AHMAD,5
2008,M,AHMAD,2
2007,M,AHMAD,3
2006,M,AHMAD,2
2005,M,AHMAD,1
2004,M,AHMAD,2
2003,M,AHMAD,2
2002,M,AHMAD,1
2001,M,AHMAD,1
2000,M,AHMAD,2
2022,M,AHMED,7
2021,M,AHMED,12
2020,M,AHMED,5
2019,M,AHMED,3
2018,M,AHMED,8
2017,M,AHMED,9
2016,M,AHMED,3
2015,M,AHMED,9
2014,M,AHMED,9
2013,M,AHMED,12
2012,M,AHMED,6
2011,M,AHMED,13
2010,M,AHMED,14
2009,M,AHMED,11
2008,M,AHMED,19
2007,M,AHMED,12
2006,M,AHMED,9
2005,M,AHMED,12
2004,M,AHMED,9
2003,M,AHMED,10
2002,M,AHMED,6
2001,M,AHMED,6
2000,M,AHMED,10
2022,M,AIDAN,4
2021,M,AIDAN,3
2020,M,AIDAN,5
2019,M,AIDAN,5
2018,M,AIDAN,7
2017,M,AIDAN,5
2016,M,AIDAN,6
2015,M,AIDAN,6
2014,M,AIDAN,8
2013,M,AIDAN,7
2012,M,AIDAN,2
2011,M,AIDAN,8
2010,M,AIDAN,6
2009,M,AIDAN,3
2008,M,AIDAN,0
2007,M,AIDAN,4
2006,M,AIDAN,1
2005,M,AIDAN,2
2004,M,AIDAN,1
2003,M,AIDAN,1
2002,M,AIDAN,1
2001,M,AIDAN,0
2000,M,AIDAN,1
2022,M,AIDEN,7
2021,M,AIDEN,11
2020,M,AIDEN,2
2019,M,AIDEN,8
2018,M,AIDEN,4
2017,M,AIDEN,4
2016,M,AIDEN,8
2015,M,AIDEN,7
2014,M,AIDEN,8
2013,M,AIDEN,2
2012,M,AIDEN,0
2011,M,AIDEN,1
2010,M,AIDEN,1
2009,M,AIDEN,0
2008,M,AIDEN,2
2007,M,AIDEN,0
2006,M,AIDEN,0
2005,M,AIDEN,0
2004,M,AIDEN,0
