PROTECCION_ACTUAL;PROTECCION_97;NOMBRE;C_HOMOGENEO;OBSERVACION;EXPEDIENTE;ENLACE;COD_NDP;UTMX_ETRS;UTMY_ETRS;N_CATALOGO
Singular;Singular;Palacio Real;---;---;---;---;11000076;439475.03;4474317.27;1
Estructural;Estructural;---;---;---;---;---;11006389;439780.1;4475515.91;2
Estructural;Estructural;---;---;---;---;---;11006409;439797.65;4475496.24;3
Estructural;Estructural;---;---;---;---;---;20147571;439783.29;4475497.25;4
Singular;Singular;Nª Sra. de la Almudena;---;---;---;---;20003660;439373.7;4474091.23;5
Parcial;Parcial;---;---;---;---;---;11006464;439931.04;4475544.79;11
Ambiental;Ambiental;---;---;---;---;---;11006441;439827.98;4475534.01;13
Parcial;Parcial;---;---;---;---;---;11006436;439879.31;4475534.73;17
Parcial;Parcial;---;---;---;---;---;11006435;439891.31;4475534.92;18
Parcial;Parcial;---;---;---;---;---;11006404;439899.3;4475502.06;22
Parcial;Parcial;---;---;---;---;---;11006442;439883.6;4475501.12;23
Parcial;Parcial;---;---;---;---;---;11006406;439856.76;4475499.53;25
Estructural;Estructural;---;---;---;---;---;11006360;439818.4;4475518.69;27
Estructural;Estructural;---;---;---;---;---;11006236;440090.88;4475575.04;28
Estructural;Estructural;---;---;---;---;---;11006237;440088.9;4475566.39;29
Integral;Integral;---;---;---;---;---;11006217;440085.52;4475551.61;30
Parcial;Parcial;---;---;---;---;---;11006219;440061.29;4475547.28;31
Parcial;Parcial;---;---;---;---;---;11006220;440053.34;4475547.05;32
Parcial;Parcial;---;---;---;---;---;11006221;440046.55;4475546.87;33
Parcial;Parcial;---;---;---;---;---;11006222;440036.78;4475546.7;34
Parcial;Parcial;---;---;---;---;---;11006223;440028.17;4475546.53;35
Parcial;Parcial;---;---;---;---;---;11006224;440018.36;4475546.34;36
Ambiental;Ambiental;---;---;---;---;---;11006231;439974.56;4475545.64;38
Parcial;Parcial;---;---;---;---;---;11006232;439971.05;4475545.58;39
Parcial;Parcial;---;---;---;---;---;11006233;439956.99;4475545.36;40
Parcial;Parcial;---;---;---;---;---;11006230;439985.44;4475545.82;41
Parcial;Parcial;---;---;---;---;---;11006245;439956.3;4475535.01;42
Parcial;Parcial;---;---;---;---;---;11006238;439969.94;4475535.6;43
Parcial;Parcial;---;---;---;---;---;11006239;439976.13;4475535.82;44
Estructural;Estructural;---;---;---;---;---;11006240;439988.71;4475536.36;45
Parcial;Parcial;---;---;---;---;---;11006244;439970.61;4475506.31;47
Integral;Integral;---;---;---;---;---;11006246;439963.15;4475505.84;48
Estructural;Estructural;---;---;---;---;---;11006247;439951.79;4475505.11;49
Estructural;Estructural;---;---;---;---;---;11006250;440011.87;4475537.04;50
Estructural;Estructural;---;---;---;---;---;11005422;440136.01;4475593.63;54
Parcial;Parcial;---;---;---;---;---;11005423;440154.12;4475590.9;55
Parcial;Parcial;---;---;---;---;---;11005424;440160.39;4475589.95;56
Parcial;Parcial;---;---;---;---;---;11005426;440193.65;4475585.01;58
Parcial;Parcial;---;---;---;---;---;11005427;440199.06;4475548.8;59
Estructural;Estructural;---;---;---;---;---;11005428;440196.21;4475531.66;60
Estructural;Estructural;---;---;---;---;---;11005429;440194.45;4475521.02;61
Parcial;Parcial;---;---;---;---;---;11005430;440192.7;4475510.41;62
Estructural;Estructural;---;---;---;---;---;11005431;440181.11;4475493.74;63
Parcial;Parcial;---;---;---;---;---;11005432;440167.87;4475497.15;64
Parcial;Parcial;---;---;---;---;---;11005433;440157.84;4475499.74;65
Parcial;Parcial;---;---;---;---;---;11005416;440111.02;4475517.82;67
Integral;Integral;---;---;---;---;---;11005418;440114.57;4475536.81;68
Ambiental;Ambiental;---;---;---;---;---;11005418;440114.57;4475536.81;69
Parcial;Parcial;Casona residencial;---;---;---;---;11005419;440116.48;4475546.8;70
Parcial;Parcial;---;---;---;---;---;11005420;440120.1;4475565.77;71
Parcial;Parcial;---;---;---;---;---;11005421;440122.76;4475579.23;72
Parcial;Parcial;---;---;---;---;---;11005435;440228.55;4475579.51;73
Parcial;Parcial;---;---;---;---;---;11005436;440242.32;4475577.45;74
Parcial;Parcial;---;---;---;---;---;11005437;440251.01;4475576.07;75
Parcial;Parcial;---;---;---;---;---;11005438;440261.63;4475574.41;76
Parcial;Parcial;---;---;---;---;---;11005439;440271.21;4475572.93;77
Parcial;Parcial;---;---;---;---;---;11005440;440281.24;4475571.39;78
Parcial;Parcial;---;---;---;---;---;11005441;440294.84;4475558.52;79
Parcial;Parcial;---;---;---;---;---;11005442;440292.19;4475540.86;80
Integral;Integral;---;---;---;---;---;11005443;440289.35;4475520.16;81
Parcial;Parcial;---;---;---;---;---;11005444;440267.51;4475518.49;82
Parcial;Parcial;---;---;---;---;---;11005445;440256.33;4475520.49;83
Parcial;Parcial;---;---;---;---;---;11005446;440243.28;4475523.06;84
Parcial;Parcial;---;---;---;---;---;11005447;440227.35;4475525.59;85
Parcial;Parcial;---;---;---;---;---;11005448;440210.19;4475536.38;86
Parcial;Parcial;---;---;---;---;---;11005449;440213.3;4475555.6;87
Parcial;Parcial;---;---;---;---;---;11005350;440314.29;4475566.2;88
Parcial;Parcial;---;---;---;---;---;11005352;440329.09;4475554.85;89
Parcial;Parcial;çdificio vivienda colect.;---;---;---;---;11005354;440327.81;4475546.51;90
Estructural;Estructural;---;---;---;---;---;11005355;440325.62;4475532.06;91
Estructural;Estructural;---;---;---;---;---;11005357;440320.56;4475498.38;93
Parcial;Parcial;---;---;---;---;---;11005358;440318.07;4475481.32;94
Parcial;Parcial;---;---;---;---;---;11005359;440315.79;4475465.68;95
Parcial;Parcial;---;---;---;---;---;11005361;440297.67;4475463.97;96
Estructural;Estructural;---;---;---;---;---;20005866;440297.64;4475486.6;97
Estructural;Estructural;---;---;---;---;---;11005363;440299.54;4475499.92;98
Estructural;Estructural;---;---;---;---;---;11005365;440304.99;4475538.19;99
Parcial;Parcial;---;---;---;---;---;11005368;440348.11;4475559.46;100
Ambiental;Ambiental;---;---;---;---;---;11005369;440362.84;4475559.24;101
Parcial;Parcial;---;---;---;---;---;11005370;440374.74;4475559.1;102
Parcial;Parcial;---;---;---;---;---;11005371;440387.73;4475558.95;103
Parcial;Parcial;---;---;---;---;---;11005372;440400.51;4475558.8;104
Estructural;Estructural;---;---;---;---;---;11005374;440430.21;4475553.55;105
Singular;Singular;Convto. Mª Inmaculada;---;---;---;---;11005384;440332.08;4475488.94;106
Singular;Singular;Ermita Virgen del Puerto;---;---;---;---;31011490;438818.64;4474132.47;108
Parcial;Parcial;---;---;---;---;---;11005380;440347.47;4475452.28;109
Estructural;Estructural;---;---;---;---;---;11005381;440333.29;4475455.46;110
Parcial;Parcial;---;---;---;---;---;11005383;440329.47;4475472.02;111
Estructural;Estructural;---;---;---;---;---;11005386;440338.71;4475531.91;112
Estructural;Estructural;---;---;---;---;---;11005451;440206.77;4475515.41;113
Parcial;Parcial;---;---;---;---;---;11005452;440226.55;4475517.1;114
Parcial;Parcial;---;---;---;---;---;11005453;440242.37;4475514.25;115
Parcial;Parcial;---;---;---;---;---;11005454;440257.28;4475511.59;116
Parcial;Parcial;---;---;---;---;---;11005456;440284.19;4475484.44;117
Parcial;Parcial;---;---;---;---;---;11005457;440274.14;4475470.43;118
Parcial;Parcial;---;---;---;---;---;11005458;440258.04;4475474.45;119
Parcial;Parcial;---;---;---;---;---;11005459;440246.51;4475477.33;120
Parcial;Parcial;---;---;---;---;---;11005460;440236.13;4475479.92;121
Parcial;Parcial;---;---;---;---;---;11005461;440226.4;4475482.34;122
Ambiental;Ambiental;---;---;---;---;---;11005462;440211.08;4475486.11;123
Ambiental;Ambiental;---;---;---;---;---;11005450;440203.66;4475496.98;124
Parcial;Parcial;---;---;---;---;---;11005455;440286.41;4475499.53;125
Parcial;Parcial;---;---;---;---;---;20151359;439614.36;4475303.23;128
Parcial;Parcial;---;---;---;---;---;11006550;439592.3;4475286.58;129
Parcial;Parcial;---;---;---;---;---;11006551;439581.52;4475297.91;130
Estructural;Estructural;---;---;---;---;---;11006552;439573.67;4475306.28;131
Estructural;Estructural;Con vuelta a C. Negras 2;---;---;---;---;11006598;439545.41;4475280.9;132
Estructural;Estructural;con vuelta a C. Negras 4;---;---;---;---;11006557;439564.89;4475296.32;133
Estructural;Estructural;---;---;---;---;---;11006556;439574.67;4475285.79;134
Estructural;Estructural;---;---;---;---;---;11006554;439589.73;4475269.67;136
Estructural;Estructural;---;---;---;---;---;11006548;439588.34;4475250.61;137
Parcial;Parcial;---;---;---;---;---;11006595;439567.33;4475240.31;138
Estructural;Estructural;---;---;---;---;---;11006597;439552.2;4475268.32;139
Parcial;Parcial;---;---;---;---;---;11006535;439659.7;4475314.45;141
Parcial;Parcial;---;---;---;---;---;11006534;439651.19;4475298.81;142
Estructural;Estructural;---;---;---;---;---;11006387;439762.85;4475482.29;145
Parcial;Parcial;---;---;---;---;---;11006386;439751.96;4475460.95;146
Estructural;Estructural;---;---;---;---;---;11006385;439744.35;4475445.89;147
Estructural;Estructural;---;---;---;---;---;11006384;439739.92;4475437.17;148
Parcial;Parcial;---;---;---;---;---;11006383;439736.41;4475430.27;149
Estructural;Estructural;---;---;---;---;---;11006531;439713.35;4475384.99;150
Estructural;Estructural;---;---;---;---;---;11006559;439728.14;4475388.0;151
Estructural;Estructural;---;---;---;---;---;11006558;439735.53;4475386.98;152
Estructural;Estructural;---;---;---;---;---;11006578;439733.47;4475363.04;153
Parcial;Parcial;---;---;---;---;---;11006537;439709.18;4475310.88;157
Parcial;Parcial;---;---;---;---;---;11006538;439698.09;4475316.95;158
Parcial;Parcial;---;---;---;---;---;11006528;439689.38;4475338.28;159
Parcial;Parcial;---;---;---;---;---;11006544;439682.79;4475313.18;161
Ambiental;Ambiental;---;---;---;---;---;11006543;439701.27;4475303.18;162
Ambiental;Ambiental;---;---;---;---;---;11006572;439701.42;4475280.97;163
Ambiental;Ambiental;---;---;---;---;---;11006571;439695.07;4475269.55;164
Parcial;Parcial;---;---;---;---;---;20006178;439688.5;4475257.29;165
Parcial;Parcial;---;---;---;---;---;11006570;439678.99;4475239.88;166
Parcial;Parcial;---;---;---;---;---;11006606;439660.52;4475241.52;167
Parcial;Parcial;---;---;---;---;---;11006607;439654.45;4475244.79;168
Integral;Integral;---;---;---;---;---;11006608;439644.86;4475249.97;169
Parcial;Parcial;---;---;---;---;---;11006525;439661.24;4475291.34;172
Parcial;Parcial;---;---;---;---;---;11006526;439667.62;4475303.02;173
Estructural;Estructural;---;---;---;---;---;20006212;439610.96;4475206.52;174
Parcial;Parcial;---;---;---;---;---;11006769;439672.97;4475220.18;176
Integral;Integral;---;---;---;---;---;11006768;439689.59;4475211.4;177
Parcial;Parcial;---;---;---;---;---;11006767;439701.76;4475204.84;178
Parcial;Parcial;---;---;---;---;---;11006766;439712.31;4475199.14;179
Estructural;Estructural;---;---;---;---;---;11006765;439728.21;4475190.59;180
Parcial;Parcial;---;---;---;---;---;11006777;439715.46;4475173.84;181
Singular;Singular;Iglesia de San Marcos;---;---;---;---;11006780;439674.48;4475146.97;184
