Year,Name,Frecuency
2022,MATEO,635
2022,MARTIN,527
2022,LUCAS,520
2022,DANIEL,441
2022,HUGO,436
2022,ALEJANDRO,425
2022,ALVARO,407
2022,DIEGO,400
2022,PABLO,397
2022,ADRIAN,373
2022,LEO,373
2022,NICOLAS,365
2022,OLIVER,325
2022,MARCOS,315
2022,GONZALO,312
2022,MANUEL,270
2022,JAIME,266
2022,LUCA,260
2022,ENZO,254
2022,BRUNO,251
2022,MIGUEL,247
2022,RODRIGO,237
2022,DAVID,233
2022,MARCO,232
2022,GUILLERMO,221
2022,MARIO,218
2022,JAVIER,216
2022,THIAGO,210
2022,JORGE,201
2022,SANTIAGO,199
2022,GAEL,196
2022,GABRIEL,192
2022,DARIO,183
2022,IZAN,181
2022,JUAN,176
2022,HECTOR,171
2022,SAMUEL,166
2022,CARLOS,162
2022,ALEX,161
2022,LIAM,156
2022,ANGEL,140
2022,IGNACIO,136
2022,SERGIO,135
2022,AARON,120
2022,VICTOR,119
2022,JOSE,116
2022,ANTONIO,114
2022,LUIS,112
2022,MATIAS,105
2022,NOAH,105
2022,IAN,102
2022,ASIER,100
2022,ERIK,95
2022,IKER,95
2022,UNAI,91
2022,DYLAN,88
2022,ADAM,86
2022,ALONSO,84
2022,SAUL,84
2022,FERNANDO,82
2022,PEDRO,82
2022,IVAN,80
2022,ERIC,79
2022,RAFAEL,79
2022,ANDRES,72
2022,ISAAC,71
2022,JESUS,70
2022,RUBEN,70
2022,RAUL,69
2022,MAXIMO,68
2022,AITOR,66
2022,RAYAN,66
2022,ALBERTO,65
2022,SEBASTIAN,65
2022,BOSCO,62
2022,FELIPE,62
2022,ALAN,60
2022,TOMAS,60
2022,IÑIGO,59
2022,JACOBO,59
2022,ANDER,57
2022,FRANCISCO,57
2022,MARC,57
2022,JULEN,56
2022,LEONARDO,56
2022,ISMAEL,55
2022,AMIR,54
2022,YAGO,52
2022,AXEL,51
2022,ENRIQUE,51
2022,IAGO,51
2022,LEON,50
2022,EDUARDO,49
2022,JOEL,49
2022,MAURO,49
2022,MOHAMED,48
2022,ARES,47
2022,CESAR,47
2022,LUKA,47
2022,BELTRAN,44
2022,NEIZAN,43
2022,ELIAS,41
2022,ALFONSO,40
2022,OSCAR,40
2022,ALEXANDER,39
2022,MIGUEL ANGEL,38
2022,TRISTAN,36
2022,ELOY,35
2022,IBRAHIM,35
2022,JOAQUIN,34
2022,MAX,34
2022,TEO,34
2022,ARTURO,33
2022,JULIO,33
2022,OMAR,33
2022,RICARDO,33
2022,SIMON,33
2022,ADAY,32
2022,JON,31
2022,MIKEL,31
2022,ABEL,30
2022,BORJA,30
2022,KYLIAN,30
2022,CRISTIAN,29
2022,IMRAN,29
2022,LORENZO,29
2022,MATTEO,29
2022,PELAYO,29
2022,ROBERTO,29
2022,ROMEO,29
2022,ARITZ,28
2022,FABIO,28
2022,HERNAN,28
2022,JULIAN,28
2022,MAXIMILIANO,28
2022,ERICK,27
2022,HARON,27
2022,DANTE,25
2022,JOSE LUIS,25
2022,JOSUE,25
2022,TIAGO,25
2022,ALESSANDRO,24
2022,BENJAMIN,24
2022,MILAN,24
2022,RAMON,24
2022,DEREK,23
2022,ENEKO,23
2022,YOUSSEF,23
2022,EINAR,22
2022,ABRAHAM,21
2022,AIMAR,21
2022,FRANCISCO JAVIER,21
2022,ISRAEL,21
2022,JOSE ANTONIO,21
2022,ROQUE,21
2022,ELIAN,20
2022,EMMANUEL,20
2022,LUCCA,20
2022,ROI,20
2022,TELMO,20
2022,THEO,20
2022,YANIS,20
2022,EMILIO,19
2022,JOSE MANUEL,19
2022,KAI,19
2022,MARK,19
2022,EIDEN,18
2022,EMANUEL,18
2022,FELIX,18
2022,NOEL,18
2022,PAU,18
2022,SALVADOR,18
2022,ULISES,18
2022,YERAY,18
2022,ANAS,17
2022,AYMAN,17
2022,BASTIAN,17
2022,JUAN JOSE,17
2022,RIO,17
2022,EZEQUIEL,16
2022,JAIRO,16
2022,KARIM,16
2022,NAIM,16
2022,YASSER,16
2022,CALEB,15
2022,FEDERICO,15
2022,JUAN PABLO,15
2022,MOISES,15
2022,VALENTIN,15
2022,DAMIAN,14
2022,NAEL,14
2022,ROMAN,14
