Year,District,Neighborhood,Gender,Number
2018,Centro,Centro,male,483
2018,Centro,Palacio,male,86
2018,Centro,Embajadores,male,156
2018,Centro,Cortes,male,41
2018,Centro,Justicia,male,63
2018,Centro,Universidad,male,112
2018,Centro,Sol,male,25
2018,Arganzuela,Arganzuela,male,659
2018,Arganzuela,Imperial,male,90
2018,Arganzuela,Acacias,male,118
2018,Arganzuela,Chopera,male,84
2018,Arganzuela,Legazpi,male,133
2018,Arganzuela,Delicias,male,125
2018,Arganzuela,Palos de la Frontera,male,102
2018,Arganzuela,Atocha,male,7
2018,Retiro,Retiro,male,482
2018,Retiro,Pacífico,male,112
2018,Retiro,Adelfas,male,90
2018,Retiro,Estrella,male,85
2018,Retiro,Ibiza,male,102
2018,Retiro,Los Jerónimos,male,29
2018,Retiro,Niño Jesús,male,64
2018,Salamanca,Salamanca,male,609
2018,Salamanca,Recoletos,male,74
2018,Salamanca,Goya,male,124
2018,Salamanca,Fuente del Berro,male,81
2018,Salamanca,Guindalera,male,170
2018,Salamanca,Lista,male,92
2018,Salamanca,Castellana,male,68
2018,Chamartín,Chamartín,male,687
2018,Chamartín,El Viso,male,86
2018,Chamartín,Prosperidad,male,145
2018,Chamartín,Ciudad Jardín,male,91
2018,Chamartín,Hispanoamérica,male,176
2018,Chamartín,Nueva España,male,127
2018,Chamartín,Castilla,male,62
2018,Tetuán,Tetuán,male,706
2018,Tetuán,Bellas Vistas,male,127
2018,Tetuán,Cuatro Caminos,male,157
2018,Tetuán,Castillejos,male,90
2018,Tetuán,Almenara,male,91
2018,Tetuán,Valdeacederas,male,134
2018,Tetuán,Berruguete,male,107
2018,Chamberí,Chamberí,male,566
2018,Chamberí,Gaztambide,male,76
2018,Chamberí,Arapiles,male,101
2018,Chamberí,Trafalgar,male,111
2018,Chamberí,Almagro,male,82
2018,Chamberí,Ríos Rosas,male,130
2018,Chamberí,Vallehermoso,male,66
2018,Fuencarral-ElPardo,Fuencarral-ElPardo,male,1254
2018,Fuencarral-ElPardo,El Pardo,male,11
2018,Fuencarral-ElPardo,Fuentelarreina,male,16
2018,Fuencarral-ElPardo,Peñagrande,male,164
2018,Fuencarral-ElPardo,Pilar,male,170
2018,Fuencarral-ElPardo,La Paz,male,125
2018,Fuencarral-ElPardo,Valverde,male,395
2018,Fuencarral-ElPardo,Mirasierra,male,194
2018,Fuencarral-ElPardo,El Goloso,male,179
2018,Moncloa-Aravaca,Moncloa-Aravaca,male,490
2018,Moncloa-Aravaca,Casa de Campo,male,49
2018,Moncloa-Aravaca,Argüelles,male,79
2018,Moncloa-Aravaca,Ciudad Universitaria,male,74
2018,Moncloa-Aravaca,Valdezarza,male,135
2018,Moncloa-Aravaca,Valdemarín,male,35
2018,Moncloa-Aravaca,El Plantío,male,14
2018,Moncloa-Aravaca,Aravaca,male,104
2018,Latina,Latina,male,845
2018,Latina,Los Cármenes,male,65
2018,Latina,Puerta del Ángel,male,141
2018,Latina,Lucero,male,114
2018,Latina,Aluche,male,218
2018,Latina,Campamento,male,86
2018,Latina,CuatroVientos,male,43
2018,Latina,Águilas,male,178
2018,Carabanchel,Carabanchel,male,997
2018,Carabanchel,Comillas,male,93
2018,Carabanchel,Opañel,male,114
2018,Carabanchel,SanI sidro,male,158
2018,Carabanchel,Vista Alegre,male,164
2018,Carabanchel,Puerta Bonita,male,135
2018,Carabanchel,Buenavista,male,206
2018,Carabanchel,Abrantes,male,127
2018,Usera,Usera,male,601
2018,Usera,Orcasitas,male,78
2018,Usera,Orcasur,male,66
2018,Usera,San Fermín,male,113
2018,Usera,Almendrales,male,95
2018,Usera,Moscardó,male,121
2018,Usera,Zofío,male,53
2018,Usera,Pradolongo,male,75
2018,Puente de Vallecas,Puente de Vallecas,male,1022
2018,Puente de Vallecas,Entrevías,male,146
2018,Puente de Vallecas,San Diego,male,228
2018,Puente de Vallecas,Palomeras Bajas,male,151
2018,Puente de Vallecas,Palomeras Sureste,male,178
2018,Puente de Vallecas,Portazgo,male,112
2018,Puente de Vallecas,Numancia,male,207
2018,Moratalaz,Moratalaz,male,300
2018,Moratalaz,Pavones,male,32
2018,Moratalaz,Horcajo,male,19
2018,Moratalaz,Marroquina,male,64
2018,Moratalaz,Media Legua,male,62
2018,Moratalaz,Fontarrón,male,59
2018,Moratalaz,Vinateros,male,64
2018,Ciudad Lineal,Ciudad Lineal,male,824
2018,Ciudad Lineal,Ventas,male,174
2018,Ciudad Lineal,Pueblo Nuevo,male,243
2018,Ciudad Lineal,Quintana,male,82
2018,Ciudad Lineal,Concepción,male,84
2018,Ciudad Lineal,San Pascual,male,76
2018,Ciudad Lineal,San Juan Bautista,male,55
2018,Ciudad Lineal,Colina,male,23
2018,Ciudad Lineal,Atalaya,male,11
2018,Ciudad Lineal,Costillares,male,76
2018,Hortaleza,Hortaleza,male,975
2018,Hortaleza,Palomas,male,17
2018,Hortaleza,Piovera,male,72
2018,Hortaleza,Canillas,male,155
2018,Hortaleza,Pinar del Rey,male,198
2018,Hortaleza,Apóstol Santiago,male,46
2018,Hortaleza,Valdefuentes,male,487
2018,Villaverde,Villaverde,male,635
2018,Villaverde,Villaverde Alto,male,180
2018,Villaverde,San Cristóbal,male,93
2018,Villaverde,Butarque,male,95
2018,Villaverde,Los Rosales,male,154
2018,Villaverde,Ángeles,male,113
2018,Villa de Vallecas,Villa de Vallecas,male,653
2018,Villa de Vallecas,Casco Histórico de Vallecas,male,171
2018,Villa de Vallecas,Santa Eugenia,male,82
2018,Villa de Vallecas,Ensanche de Vallecas,male,400
2018,Vicálvaro,Vicálvaro,male,220
2018,Vicálvaro,Casco Histórico de Vicálvaro,male,115
2018,Vicálvaro,Valdebernardo,male,31
2018,Vicálvaro,Valderrivas,male,59
2018,Vicálvaro,El Cañaveral,male,15
2018,San Blas-Canillejas,San Blas-Canillejas,male,598
2018,San Blas-Canillejas,Simancas,male,122
2018,San Blas-Canillejas,Hellín,male,44
2018,San Blas-Canillejas,Amposta,male,39
2018,San Blas-Canillejas,Arcos,male,87
2018,San Blas-Canillejas,Rosas,male,81
2018,San Blas-Canillejas,Rejas,male,87
2018,San Blas-Canillejas,Canillejas,male,104
2018,San Blas-Canillejas,El Salvador,male,34
2018,Barajas,Barajas,male,213
2018,Barajas,Alameda de Osuna,male,65
