Year,Age,Gender,Immigrants,Emigrants
2017,0-4,Male,3900,3322
2017,0-4,Female,3661,2995
2017,5-9,Male,3020,2076
2017,5-9,Female,2757,1964
2017,10-14,Male,2957,1589
2017,10-14,Female,2793,1539
2017,15-19,Male,4524,1471
2017,15-19,Female,4896,1598
2017,20-24,Male,8642,2309
2017,20-24,Female,11577,3073
2017,25-29,Male,14123,4646
2017,25-29,Female,16728,5975
2017,30-34,Male,11886,6006
2017,30-34,Female,12419,6720
2017,35-39,Male,8817,5619
2017,35-39,Female,8519,5627
2017,40-44,Male,6508,4557
2017,40-44,Female,6155,4060
2017,45-49,Male,4673,3232
2017,45-49,Female,4592,2801
2017,50-54,Male,3367,2228
2017,50-54,Female,3811,2240
2017,55-59,Male,2458,1674
2017,55-59,Female,2888,1737
2017,60-64,Male,1785,1254
2017,60-64,Female,2230,1295
2017,65&more,Male,3825,3668
2017,65&more,Female,5657,6055
2018,0-4,Male,3840,3553
2018,0-4,Female,3706,3334
2018,5-9,Male,3052,2211
2018,5-9,Female,2920,2064
2018,10-14,Male,2828,1694
2018,10-14,Female,2732,1651
2018,15-19,Male,4773,1666
2018,15-19,Female,4954,1756
2018,20-24,Male,9381,2648
2018,20-24,Female,12728,3396
2018,25-29,Male,15303,5167
2018,25-29,Female,17928,6313
2018,30-34,Male,12261,6383
2018,30-34,Female,12513,7240
2018,35-39,Male,9234,5975
2018,35-39,Female,8827,6221
2018,40-44,Male,6741,5047
2018,40-44,Female,6340,4689
2018,45-49,Male,4787,3495
2018,45-49,Female,4941,3055
2018,50-54,Male,3697,2589
2018,50-54,Female,4099,2496
2018,55-59,Male,2586,1897
2018,55-59,Female,3115,1860
2018,60-64,Male,1769,1453
2018,60-64,Female,2215,1560
2018,65&more,Male,3668,4246
2018,65&more,Female,5371,6553
2019,0-4,Male,4017,3682
2019,0-4,Female,3942,3504
2019,5-9,Male,3275,2372
2019,5-9,Female,3232,2296
2019,10-14,Male,3184,1957
2019,10-14,Female,3099,1806
2019,15-19,Male,5390,1753
2019,15-19,Female,5525,1850
2019,20-24,Male,10985,3045
2019,20-24,Female,14010,4035
2019,25-29,Male,17732,5806
2019,25-29,Female,20409,7271
2019,30-34,Male,14424,7279
2019,30-34,Female,14348,8034
2019,35-39,Male,10171,6465
2019,35-39,Female,9923,6426
2019,40-44,Male,7633,5474
2019,40-44,Female,7334,4969
2019,45-49,Male,5539,3846
2019,45-49,Female,5732,3495
2019,50-54,Male,4136,2842
2019,50-54,Female,4424,2739
2019,55-59,Male,2970,2044
2019,55-59,Female,3631,2131
2019,60-64,Male,1972,1594
2019,60-64,Female,2453,1727
2019,65&more,Male,3966,4130
2019,65&more,Female,5708,6368
2020,0-4,Male,2445,3793
2020,0-4,Female,2217,3685
2020,5-9,Male,1889,2564
2020,5-9,Female,1854,2396
2020,10-14,Male,1869,1943
2020,10-14,Female,1799,1877
2020,15-19,Male,3254,1730
2020,15-19,Female,3195,1795
2020,20-24,Male,6628,3037
2020,20-24,Female,8523,3927
2020,25-29,Male,11365,5975
2020,25-29,Female,12520,7499
2020,30-34,Male,9482,7556
2020,30-34,Female,9285,8396
2020,35-39,Male,6687,6691
2020,35-39,Female,6280,7121
2020,40-44,Male,5144,5852
2020,40-44,Female,4537,5395
2020,45-49,Male,3656,4239
2020,45-49,Female,3558,3838
2020,50-54,Male,2677,3171
2020,50-54,Female,2799,2961
2020,55-59,Male,1952,2494
2020,55-59,Female,2211,2505
2020,60-64,Male,1350,2017
2020,60-64,Female,1545,2013
2020,65&more,Male,2324,4378
2020,65&more,Female,3256,6087
2021,0-4,Male,3045,4139
2021,0-4,Female,2974,3859
2021,5-9,Male,2689,2592
2021,5-9,Female,2605,2571
2021,10-14,Male,2628,2054
2021,10-14,Female,2544,1949
2021,15-19,Male,4157,1788
2021,15-19,Female,4323,1812
2021,20-24,Male,8601,3043
2021,20-24,Female,10667,3764
2021,25-29,Male,13870,6022
2021,25-29,Female,15341,7596
2021,30-34,Male,11766,8000
2021,30-34,Female,11119,8868
2021,35-39,Male,8151,7124
2021,35-39,Female,7386,7197
2021,40-44,Male,6367,6048
2021,40-44,Female,5661,5564
2021,45-49,Male,4784,4418
2021,45-49,Female,4511,4111
2021,50-54,Male,3824,3185
2021,50-54,Female,3785,2979
2021,55-59,Male,2880,2392
2021,55-59,Female,3160,2592
2021,60-64,Male,1948,1985
2021,60-64,Female,2282,2109
2021,65&more,Male,3692,4925
2021,65&more,Female,5122,7552
