Year,Name,Gender,Frecuency
2023,Antonio,Male,64476
2023,David,Male,60324
2023,Javier,Male,58340
2023,Daniel,Male,54810
2023,Carlos,Male,54006
2023,Manuel,Male,52046
2023,José Luis,Male,47855
2023,Alejandro,Male,47709
2023,José,Male,42615
2023,Francisco,Male,42538
2023,Pablo,Male,42282
2023,Jesús,Male,40700
2023,Francisco Javier,Male,40371
2023,Álvaro,Male,39836
2023,Miguel Ángel,Male,39164
2023,Fernando,Male,37801
2023,Jorge,Male,37280
2023,Sergio,Male,36904
2023,Ángel,Male,36398
2023,Alberto,Male,35588
2023,Miguel,Male,33271
2023,Luis,Male,32908
2023,Juan,Male,31796
2023,José Antonio,Male,29599
2023,Pedro,Male,28363
2023,Adrián,Male,27923
2023,Diego,Male,27780
2023,Juan Carlos,Male,27057
2023,Rafael,Male,26579
2023,José María,Male,25197
2023,Raúl,Male,25168
2023,José Manuel,Male,23458
2023,Iván,Male,22628
2023,Ignacio,Male,22560
2023,Mario,Male,21818
2023,Rubén,Male,21293
2023,Enrique,Male,20728
2023,Marcos,Male,20242
2023,Oscar,Male,19986
2023,Santiago,Male,19498
2023,Jaime,Male,19496
2023,Roberto,Male,19115
2023,Eduardo,Male,19097
2023,Victor,Male,18934
2023,Gonzalo,Male,18079
2023,Juan José,Male,17214
2023,Guillermo,Male,16125
2023,Hugo,Male,15997
2023,Andrés,Male,15480
2023,Juan Antonio,Male,14990
2023,Ricardo,Male,13787
2023,Alfonso,Male,13278
2023,Nicolás,Male,13048
2023,Juan Manuel,Male,12945
2023,Julián,Male,12781
2023,Rodrigo,Male,11677
2023,Julio,Male,11625
2023,Lucas,Male,11192
2023,Gabriel,Male,10646
2023,Vicente,Male,10540
2023,Martín,Male,10366
2023,Joaquín,Male,10341
2023,Félix,Male,10249
2023,Emilio,Male,10180
2023,Tomás,Male,9771
2023,Ramón,Male,9595
2023,Héctor,Male,9427
2023,Francisco José,Male,9375
2023,Cesar,Male,9323
2023,Mateo,Male,9195
2023,Mariano,Male,9179
2023,Samuel,Male,9047
2023,Luis Miguel,Male,8305
2023,Ismael,Male,8118
2023,Agustín,Male,7787
2023,Alfredo,Male,7408
2023,Mohamed,Male,7331
2023,José Miguel,Male,6963
2023,Felipe,Male,6900
2023,José Ignacio,Male,6687
2023,José Carlos,Male,6154
2023,Aitor,Male,5955
2023,Arturo,Male,5705
2023,Borja,Male,5626
2023,Victor Manuel,Male,5626
2023,José Ramón,Male,5584
2023,Cristian,Male,5560
2023,Gregorio,Male,5539
2023,Marco,Male,5210
2023,Juan Francisco,Male,5083
2023,Jonathan,Male,5051
2023,Izan,Male,5000
2023,Iker,Male,4824
2023,Eugenio,Male,4770
2023,Sebastián,Male,4751
2023,Darío,Male,4579
2023,Aarón,Male,4508
2023,Bruno,Male,4487
2023,Ángel Luis,Male,4486
2023,José Ángel,Male,4358
2023,Juan Luis,Male,4354
2023,Salvador,Male,4300
2023,Lorenzo,Male,4271
2023,Leo,Male,4259
2023,Oliver,Male,4194
2023,Israel,Male,3975
2023,Domingo,Male,3936
2023,Juan Pablo,Male,3874
2023,Valentín,Male,3868
2023,Esteban,Male,3860
2023,José Javier,Male,3824
2023,Luis Alberto,Male,3819
2023,Alex,Male,3671
2023,Carlos Alberto,Male,3534
2023,Isaac,Male,3484
2023,Adolfo,Male,3427
2023,Christian,Male,3344
2023,Alonso,Male,3308
2023,German,Male,3185
2023,Iñigo,Male,3161
2023,José Alberto,Male,3135
2023,Enzo,Male,3116
2023,Luis Fernando,Male,3110
2023,Asier,Male,2911
2023,Ernesto,Male,2906
2023,Federico,Male,2883
2023,Juan Pedro,Male,2865
2023,Omar,Male,2845
2023,Gerardo,Male,2836
2023,Juan Ignacio,Male,2806
2023,Abel,Male,2621
2023,Mohammed,Male,2605
2023,José Francisco,Male,2597
2023,Alexander,Male,2552
2023,Juan Miguel,Male,2541
2023,Julio Cesar,Male,2538
2023,Pedro José,Male,2522
2023,Marco Antonio,Male,2491
